timestamp,vehicle_model,production_line,shift,assembly_time_min,paint_thickness_um,torque_nm,battery_voltage_v,quality_score,inspection_status
2025-01-01 06:00,Hatch-E,Line-D,Evening,42.5,116.1,321.8,385.8,97.1,PASS
2025-01-01 06:15,Hatch-E,Line-D,Evening,57.3,118.8,302.1,392.5,93.8,PASS
2025-01-01 06:30,TruckMax,Line-B,Night,39.2,115.7,287.8,393.2,100,PASS
2025-01-01 06:45,TruckMax,Line-B,Evening,53.9,121.5,300.7,403.8,93.7,PASS
2025-01-01 07:00,TruckMax,Line-C,Evening,52.0,120.1,332.2,398.9,89.2,Rework
2025-01-01 07:15,Hatch-E,Line-B,Night,65.7,123.2,314.4,398.4,89.7,Rework
2025-01-01 07:30,Sedan-X,Line-B,Morning,58.3,123.3,298.4,396.4,89.1,Rework
2025-01-01 07:45,Hatch-E,Line-B,Night,44.2,112.8,335.0,405.3,92.6,PASS
2025-01-01 08:00,Sedan-X,Line-A,Evening,40.4,113.0,279.6,408.1,100,PASS
2025-01-01 08:15,EV-One,Line-B,Morning,50.3,114.0,296.9,388.1,91.5,PASS
2025-01-01 08:30,EV-One,Line-A,Evening,43.4,116.5,333.6,401.6,100,PASS
2025-01-01 08:45,TruckMax,Line-D,Morning,46.8,119.9,325.5,393.8,98.1,PASS
2025-01-01 09:00,SUV-Pro,Line-C,Night,abc,112.2,290.9,398.7,90.3,PASS
2025-01-01 09:15,Hatch-E,Line-C,Morning,53.2,116.1,319.9,395.0,93.0,PASS
2025-01-01 09:30,EV-One,Line-D,Evening,63.5,119.7,315.2,401.8,86.2,Rework
2025-01-01 09:45,Hatch-E,Line-C,Night,50.5,114.2,353.7,398.9,97.1,PASS
2025-01-01 10:00,TruckMax,Line-D,Night,52.5,110.4,297.3,392.5,90.7,PASS
2025-01-01 10:15,Sedan-X,Line-C,Morning,48.3,120.1,301.1,393.1,94.3,PASS
2025-01-01 10:30,Hatch-E,Line-D,Night,46.7,116.6,295.2,399.5,97.5,PASS
2025-01-01 10:45,SUV-Pro,Line-C,Morning,51.3,105.7,305.7,394.4,91.6,PASS
INVALID_DATE,Hatch-E,Line-C,Morning,54.5,114.4,300.2,401.9,90.5,PASS
